"measure_name";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"margin-loss";1,70821742;1,93769168;1,76672995023082;1,73436083954286;1,72925620185278;1,76672995023082;1,80916246404466;1,86014266328244;1,81422509327266;1,87019069844206;1,87046087330915;1,87046087330915;1,86878232513431;1,78440201953159;1,89997340968757;1,79648327078953;1,7854982069346;1,81050190562153;1,9003261862583
"micro-auc";0,71259757;0,69516117;0,723193544230274;0,721448603553278;0,716108399046169;0,723193544230274;0,715649441035744;0,718028169651125;0,71196329286237;0,71105367385325;0,734141205233025;0,734141205233025;0,716496890266644;0,71253303954517;0,697172551977333;0,706613616660104;0,704834511887298;0,704355670426372;0,703158289295227
"micro-f1";0,60122742;0,57749274;0,611064495589141;0,61305363363155;0,604706054107369;0,611064495589141;0,603398064103336;0,606609866925654;0,60313484129392;0,60226998182232;0,634286702915507;0,634286702915507;0,603824148256441;0,596856865429805;0,575389765481492;0,594895029624594;0,590753377685245;0,587828235859141;0,590556185365475
"micro-precision";0,6413227;0,59073363;0,632236766648434;0,627453767765326;0,628391646616678;0,632236766648434;0,621598454159891;0,628890966300936;0,61075054826576;0,62033848063835;0,644666866797647;0,644666866797647;0,622660778417229;0,616828141086623;0,603464784022533;0,612582901259355;0,614966465531414;0,612027608282159;0,57971606000841
"micro-recall";0,56855573;0,56666412;0,594019804684942;0,601081054246192;0,585886249051387;0,594019804684942;0,589473911389049;0,588580607445286;0,59668185387222;0,5875907904807;0,62644683391243;0,62644683391243;0,58834529095997;0,581112181375943;0,551378921516536;0,579221609760601;0,569433989124356;0,568628853892616;0,602980555170922
"mlp";0,03333334;0;0;0;0,0166666666666667;0;0;0;0;0,01666666666667;0;0;0;0;0;0;0;0;0
"one-error";0,39773124;0,40638356;0,403903011831617;0,393840073098688;0,412596058620646;0,403903011831617;0,411340683690425;0,385066246363527;0,40415543798995;0,40436273713124;0,35523793205008;0,35523793205008;0,387898837863755;0,399613608661718;0,412609733473474;0,409739953041899;0,414550465399602;0,412973733529063;0,453211995688815
"precision";0,61832254;0,59302727;0,616587454733797;0,616899617861273;0,611186570875993;0,616587454733797;0,604382416207545;0,616416334092558;0,60786363351483;0,59871484138502;0,644652867278501;0,644652867278501;0,617844009216422;0,60149049101231;0,590502702105549;0,601260129813568;0,604297878334491;0,609193267389914;0,576067675905687
"ranking-loss";0,2666109;0,30237042;0,27442893536304;0,268689454391996;0,267207031290928;0,27442893536304;0,282062482101776;0,290017542928821;0,27517070448839;0,28321109880547;0,283362530665619;0,283362530665619;0,284951745690251;0,273911140144128;0,294550845822728;0,280809243162466;0,278645361690878;0,28119638671018;0,28928911662977
"recall";0,56152293;0,56306584;0,585576999702375;0,598586348864135;0,577196802037786;0,585576999702375;0,583605843255516;0,582533018901882;0,59484178888004;0,57449755312893;0,62237338121525;0,62237338121525;0,584811796982096;0,57610117634448;0,546458047466246;0,566425651261388;0,559099979330009;0,562836401272028;0,599712541517495
"subset-accuracy";0,23996248;0,195601;0,241174788858454;0,241222896297353;0,239789088223691;0,241174788858454;0,234553252733326;0,222972021247806;0,22700792456248;0,23104258053108;0,268558724442127;0,268558724442127;0,222763010638603;0,225083327559939;0,206068338493222;0,213550878264429;0,213343243455607;0,224283704548655;0,193724059638433
"wlp";0,03333334;0;0;0;0,0166666666666667;0;0,0166666666666667;0,0166666666666667;0;0,01666666666667;0;0;0;0;0;0;0,0166666666666667;0;0
