"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,69370169;0,609928047;0;0;0,945141852;0,64152749;0,75076801;0;0;0,73465834
"local";0,68839484;0,597086514;0;0;0,9458257055;0,63691637;0,77737944;0;0;0,779673203
"hpml-jma";0,712118178334448;0,599083887634308;0;0;0,931990234705338;0,633255152964919;0,762827855317363;0;0;0,775682399236731
"hpml-jmi";0,709880020068502;0,597952935253355;0;0;0,927823568038671;0,633612295822062;0,762477663304294;0;0;0,775682399236731
"hpml-js";0,7013058192971;0,600089547474001;0;0;0,933031901372005;0,633584211671736;0,772248916450234;0;0;0,767102769146442
"hpml-kma";0,712118178334448;0,591549734112759;0;0;0,928464593679697;0,631078661814282;0,759034676344589;0;0;0,770876852223239
"hpml-kmi";0,702711337067505;0,593777625269222;0;0;0,928464593679697;0,635208366115357;0,757360230547496;0;0;0,773604801378513
"hpml-ks";0,702912603933984;0,607023935448305;0;0;0,933031901372005;0,63494086971957;0,757312407787815;0;0;0,763646387670256
"exhaustive-ma";0,70096133118189;0,56558441558442;NA;NA;0,94872194662087;0,63153001393241;0,76257512278242;0,90868993823836;0,60578074401483;0,77818087768414
"exhaustive-mi";0,69818923504826;0,60744625822357;NA;NA;0,94966639106532;0,63765677932717;0,7635315402593;0,90868993823836;0,60178449355476;0,77834592970382
"oracle-ma";0,719215671024586;0,617166300086468;NA;NA;0,955098580607801;0,66116167289252;0,779647052542223;0;0;0,779673205975907
"oracle-mi";0,719215671024586;0,620111337075623;NA;NA;0,939575704790808;0,66116167289252;0,779647052542223;0;0;0,779673205975907
"r1-ma";0,705509719681889;0,60367072528312;0;0;0,941632328722432;0,645889575514486;0,763861997965986;0;0;0,773519384106952
"r1-mi";0,700084255313919;0,609585616880785;0;0;0,941632328722432;0,640636712272415;0,763861997965986;0;0;0,773519384106952
"r1-s";0,687395455012142;0,603888010915322;0;0;0,941319828722432;0,641641103612285;0,767008460199508;0;0;0,764847182502835
"r2-ma";0,692883954957862;0,593994872424494;0;0;0,936172424247822;0,637257110882081;0,766177788394528;0;0;0,771670873903066
"r2-mi";0,688769577246791;0,591226239330231;0;0;0,936172424247822;0,643655553323574;0,767060391152662;0;0;0,772154166769342
"r2-s";0,692132609593666;0,579171577721998;0;0;0,937643012483116;0,639978265235055;0,77308178514435;0;0;0,765904945978817
"r3";0,696524819211952;0,612953996437245;0;0;0,928231157744322;0,653212414548871;0,76119812522915;0;0;0,780109141489314
