"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,47387112;0,580601939;0,938881836;0,52594441;0,940287501;0,57330957;0,58878382;0,8611508026;0,1959523786;0,58765764
"local";0,4558753;0,571618218;0,9496650929;0,55017055;0,9460371656;0,54391026;0,57606025;0,8981349232;0,31696428;0,658684315
"hpml-jma";0,486693621363584;0,594038707880813;0,948716896796646;0,568862294156569;0,940249082216341;0,534599376760864;0,562676117891118;0,893928571428572;0,303718253968254;0,651542604947963
"hpml-jmi";0,491541736239078;0,595434811776917;0,948597849177598;0,577751183045458;0,939268690059478;0,537483992145479;0,563220335578193;0,898690476190476;0,300543650793651;0,651542604947963
"hpml-js";0,479067118099145;0,584182818156503;0,94750510432586;0,557131856149663;0,942172159139418;0,538427388371895;0,577459048027718;0,908452380952381;0,319781746031746;0,633449673171839
"hpml-kma";0,486693621363584;0,582758063087011;0,951090250393404;0,537422384281025;0,941229474373204;0,546196533765901;0,573871915367293;0,870198412698413;0,355634920634921;0,638293635094548
"hpml-kmi";0,477387577233874;0,5830163476874;0,951090250393404;0,537259961028138;0,941229474373204;0,555811918381286;0,572895625269664;0,874166666666667;0,373888888888889;0,639739736368235
"hpml-ks";0,476721416028665;0,598327656261867;0,948058568342894;0,539437076478635;0,942172159139418;0,557697287913714;0,582637845745736;0,870198412698413;0,35515873015873;0,626406432788914
"exhaustive-ma";0,48092063860051;0,51;NA;NA;0,94315326275648;0,52847334870087;0,57215402265295;0,90047619047619;0,3019246031746;0,65311420680628
"exhaustive-mi";0,47393808322934;0,60342373610795;NA;NA;0,94411480121802;0,55109778309001;0,57569461759267;0,90047619047619;0,35611111111111;0,65619549875126
"oracle-ma";0,517858806092398;0,606154306220096;NA;NA;0,946999416602635;0,575950510828424;0,595235665965419;0,917539682539683;0,337857142857143;0,658684324081128
"oracle-mi";0,517858806092398;0,606824371534898;NA;NA;0,949921027917698;0,575950510828424;0,595235665965419;0,917539682539683;0,397103174603175;0,658684324081128
"r1-ma";0,480489232845129;0,573265967950179;0,946773762347771;0,553744270372287;0,944132943453143;0,555552946868152;0,570274057906621;0,900555555555556;0,339126984126984;0,637032010967717
"r1-mi";0,47254922152651;0,592016505911243;0,947253378654726;0,557905387949013;0,944132943453143;0,558437562252768;0,570274057906621;0,899722222222222;0,339722222222222;0,637032010967717
"r1-s";0,449936598096395;0,589059682033366;0,949552015935377;0,560704291683168;0,94411480121802;0,549946996215032;0,57012931348854;0,885873015873016;0,255;0,618814351496851
"r2-ma";0,465220517845324;0,561582346016556;0,952410124585235;0,567366499910507;0,940267935911665;0,548042061527078;0,577071932215458;0,905992063492064;0,309246031746032;0,647099299508258
"r2-mi";0,461874783203988;0,563320023543708;0,949424428036092;0,567799867502148;0,940267935911665;0,557657446142463;0,581377487771014;0,905992063492064;0,286626984126984;0,646593264225064
"r2-s";0,465703937984904;0,558718912179438;0,949430888926144;0,563539525016258;0,942153305444093;0,551706793021998;0,586285654289956;0,891666666666666;0,231230158730159;0,636522598457623
"r3";0,463422142628811;0,529498645603909;0,947271366290959;0,541375171392774;0,936402216909986;0,533034164318848;0,561047500558187;0,902936507936508;0,325714285714286;0,655775035936953
